hierarchy;id_category;prazo
26838 - Livros e Revistas/Livros/Política, Direito e Ciências Sociais;26838;7 - 30
27001 - Calçados/Sandálias e Chinelos/Chinelos Femininos;27001;7 - 30
22744 - Celulares e Acessórios/Celulares/Asus;22744;7 - 30
26841 - Livros e Revistas/Livros/Viagem e Turismo;26841;7 - 30
22746 - Esporte e Lazer/Pesca/Iscas & Moscas;22746;7 - 30
26843 - Livros e Revistas/Livros/Hobbies;26843;7 - 30
26844 - Livros e Revistas/Livros/Literatura LGBTQ;26844;7 - 30
22749 - Esporte e Lazer/Pesca/Varas e Bobinas;22749;7 - 30
22750 - Celulares e Acessórios/Celulares/Honor;22750;7 - 30
22751 - Celulares e Acessórios/Celulares/HTC;22751;7 - 30
26848 - Livros e Revistas/Livros/Ação, Crime e Thrillers;26848;7 - 30
22753 - Celulares e Acessórios/Celulares/Huawei;22753;7 - 30
22754 - Esporte e Lazer/Pesca/Outras;22754;7 - 30
22755 - Celulares e Acessórios/Celulares/iPhone;22755;7 - 30
26852 - Livros e Revistas/Livros/Medicina;26852;7 - 30
22757 - Celulares e Acessórios/Celulares/Leagoo;22757;7 - 30
22758 - Celulares e Acessórios/Celulares/Lenovo;22758;7 - 30
22759 - Celulares e Acessórios/Celulares/LG;22759;7 - 30
22760 - Celulares e Acessórios/Celulares/Meizu;22760;7 - 30
27004 - Calçados/Botas/Botas Femininas;27004;7 - 30
26858 - Livros e Revistas/Livros/Horóscopo;26858;7 - 30
22763 - Celulares e Acessórios/Celulares/Motorola;22763;7 - 30
26860 - Livros e Revistas/Livros/Livros Coloridos e Adesivo;26860;7 - 30
22765 - Celulares e Acessórios/Celulares/Neffos;22765;7 - 30
24814 - Saúde e Beleza/Cuidados com a Saúde/Máscara com Elástico;24814;7 - 30
22767 - Celulares e Acessórios/Celulares/Nokia;22767;7 - 30
22770 - Celulares e Acessórios/Celulares/Núbia;22770;7 - 30
22771 - Celulares e Acessórios/Celulares/OnePlus;22771;7 - 30
26868 - Alimentos e Bebidas/Snacks/Outros;26868;7 - 30
22773 - Celulares e Acessórios/Celulares/OPPO;22773;7 - 30
22774 - Celulares e Acessórios/Celulares/Outras Marcas;22774;7 - 30
22775 - Celulares e Acessórios/Celulares/Outros;22775;7 - 30
26872 - Alimentos e Bebidas/Ingredientes para Cozinhar/Outros;26872;7 - 30
22777 - Celulares e Acessórios/Celulares/Realme;22777;7 - 30
26874 - Alimentos e Bebidas/Necessidades para Cozimento/Outros;26874;7 - 30
26876 - Alimentos e Bebidas/Café da Manhã/Outros;26876;7 - 30
22781 - Celulares e Acessórios/Celulares/Sony;22781;7 - 30
22782 - Celulares e Acessórios/Celulares/Vivo;22782;7 - 30
