hierarchy;id_category;prazo
100172 - Home Appliances/Small Household Appliances/Water Flossers;100172;7 - 30
100173 - Home Appliances/Small Household Appliances/Sewing Machines & Accessories;100173;7 - 30
100175 - Home Appliances/Small Household Appliances/Irons & Steamers;100175;7 - 30
100177 - Home Appliances/Small Household Appliances/Vacuum Cleaners & Floor Care Appliances;100177;7 - 30
100178 - Home Appliances/Small Household Appliances/Others;100178;7 - 30
100180 - Home Appliances/Large Household Appliances/Water Heaters;100180;7 - 30
100182 - Home Appliances/Large Household Appliances/Futon & Shoe Dryers;100182;7 - 30
100183 - Home Appliances/Large Household Appliances/Heaters;100183;7 - 30
100184 - Home Appliances/Large Household Appliances/Others;100184;7 - 30
100185 - Home Appliances/TVs & Accessories/TVs;100185;7 - 30
100186 - Home Appliances/TVs & Accessories/TV Antennas;100186;7 - 30
100188 - Home Appliances/TVs & Accessories/TV Brackets;100188;7 - 30
100189 - Home Appliances/TVs & Accessories/Others;100189;7 - 30
100190 - Home Appliances/Kitchen Appliances/Water Filters, Coolers & Dispensers;100190;7 - 30
100191 - Home Appliances/Kitchen Appliances/Kettles;100191;7 - 30
100192 - Home Appliances/Kitchen Appliances/Wine Fridges;100192;7 - 30
100193 - Home Appliances/Kitchen Appliances/Juicers, Blenders & Soya Bean Machines;100193;7 - 30
100194 - Home Appliances/Kitchen Appliances/Coffee Machines & Accessories;100194;7 - 30
100195 - Home Appliances/Kitchen Appliances/Mixers;100195;7 - 30
100196 - Home Appliances/Kitchen Appliances/Dishwashers;100196;7 - 30
100197 - Home Appliances/Kitchen Appliances/Stoves, Hobs & Gas Regulators;100197;7 - 30
100198 - Home Appliances/Kitchen Appliances/Air Fryers;100198;7 - 30
100199 - Home Appliances/Kitchen Appliances/Deep Fryers;100199;7 - 30
100200 - Home Appliances/Kitchen Appliances/Microwaves;100200;7 - 30
100201 - Home Appliances/Kitchen Appliances/Ovens;100201;7 - 30
100202 - Home Appliances/Kitchen Appliances/Toasters;100202;7 - 30
100203 - Home Appliances/Kitchen Appliances/Food Processors & Meat Grinders;100203;7 - 30
100204 - Home Appliances/Kitchen Appliances/Multi-function Cookers;100204;7 - 30
100205 - Home Appliances/Kitchen Appliances/Pressure Cookers;100205;7 - 30
100206 - Home Appliances/Kitchen Appliances/Slow Cookers & Sous Vide Machines;100206;7 - 30
100207 - Home Appliances/Kitchen Appliances/Rice Cookers;100207;7 - 30
100209 - Home Appliances/Kitchen Appliances/Refrigerators;100209;7 - 30
100210 - Home Appliances/Kitchen Appliances/Freezers;100210;7 - 30
100211 - Home Appliances/Kitchen Appliances/Hoods;100211;7 - 30
100212 - Home Appliances/Kitchen Appliances/Others;100212;7 - 30
100213 - Home Appliances/Electrical Circuitry & Parts/Electric Sockets & Extension Cords;100213;7 - 30
100214 - Home Appliances/Electrical Circuitry & Parts/Electrical Safety;100214;7 - 30
100215 - Home Appliances/Electrical Circuitry & Parts/Electricity Savers;100215;7 - 30
100216 - Home Appliances/Electrical Circuitry & Parts/Doorbells;100216;7 - 30
100217 - Home Appliances/Electrical Circuitry & Parts/Switches;100217;7 - 30
100218 - Home Appliances/Electrical Circuitry & Parts/House Alarms;100218;7 - 30
100219 - Home Appliances/Electrical Circuitry & Parts/Lightning Protection;100219;7 - 30
100220 - Home Appliances/Electrical Circuitry & Parts/Others;100220;7 - 30
100226 - Men Clothes/Hoodies & Sweatshirts/Hoodies;100226;7 - 30
100227 - Men Clothes/Hoodies & Sweatshirts/Sweatshirts;100227;7 - 30
100228 - Men Clothes/Hoodies & Sweatshirts/Others;100228;7 - 30
100229 - Men Clothes/Jackets, Coats & Vests/Winter Jackets & Coats;100229;7 - 30
100230 - Men Clothes/Jackets, Coats & Vests/Jackets;100230;7 - 30
100231 - Men Clothes/Jackets, Coats & Vests/Vests;100231;7 - 30
100232 - Men Clothes/Jackets, Coats & Vests/Others;100232;7 - 30
100233 - Men Clothes/Suits/Suit Sets;100233;7 - 30
100234 - Men Clothes/Suits/Suit Jackets & Blazers;100234;7 - 30
100235 - Men Clothes/Suits/Suit Pants;100235;7 - 30
100236 - Men Clothes/Suits/Suit Vests & Waistcoats;100236;7 - 30
100237 - Men Clothes/Suits/Others;100237;7 - 30
100238 - Men Clothes/Pants/Cargo;100238;7 - 30
100239 - Men Clothes/Pants/Joggers;100239;7 - 30
100240 - Men Clothes/Pants/Pants;100240;7 - 30
100241 - Men Clothes/Pants/Others;100241;7 - 30
100242 - Men Clothes/Tops/Shirts;100242;7 - 30
100243 - Men Clothes/Tops/Polo Shirts;100243;7 - 30
100244 - Men Clothes/Tops/T-shirts;100244;7 - 30
100245 - Men Clothes/Tops/Tanks;100245;7 - 30
100246 - Men Clothes/Tops/Others;100246;7 - 30
100247 - Men Clothes/Innerwear & Underwear/Underwear;100247;7 - 30
100248 - Men Clothes/Innerwear & Underwear/Undershirts;100248;7 - 30
100249 - Men Clothes/Innerwear & Underwear/Thermal Innerwear;100249;7 - 30
100250 - Men Clothes/Innerwear & Underwear/Others;100250;7 - 30
100251 - Men Clothes/Traditional Wear/Tops;100251;7 - 30
100252 - Men Clothes/Traditional Wear/Bottoms;100252;7 - 30
100253 - Men Clothes/Traditional Wear/Sets;100253;7 - 30
100254 - Men Clothes/Traditional Wear/Others;100254;7 - 30
100255 - Men Shoes/Boots/Fashion Boots;100255;7 - 30
100256 - Men Shoes/Boots/Rain Boots;100256;7 - 30
100257 - Men Shoes/Boots/Safety Boots;100257;7 - 30
100258 - Men Shoes/Boots/Others;100258;7 - 30
100259 - Men Shoes/Sandals & Flip Flops/Flip Flops;100259;7 - 30
100260 - Men Shoes/Sandals & Flip Flops/Sandals;100260;7 - 30
100261 - Men Shoes/Sandals & Flip Flops/Indoor Slippers;100261;7 - 30
100262 - Men Shoes/Sandals & Flip Flops/Health Slippers;100262;7 - 30
